name,longitude,latitude,date,origin,source,class_confidence,ground_truth_location
Guildford,115.970229,-31.898506,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/32519003,0.7,None
Midland,116.002453,-31.88901,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/32519004,0.7,None
Woodbridge Hotel,115.982142,-31.897517,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/324627460,0.7,None
Coolamon Cafe,115.973442,-31.777971,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/571848319,0.7,None
Middle Swan Reserve,116.005944,-31.863876,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/663492639,0.7,None
Dear Friends,115.964018,-31.875382,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/679716933,0.7,None
Subway,116.041983,-31.885446,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/773667279,0.7,None
Terry White Chemist,115.973728,-31.791676,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/778166581,0.7,None
Woodlake Shopping Centre,115.973728,-31.79153,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/778166987,0.7,None
Woodlake IGA,115.97375,-31.792013,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/778167277,0.7,None
Red Rooster,115.977998,-31.795999,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/778168913,0.7,None
Hungry Jack's,115.979547,-31.795012,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/778168983,0.7,None
Old Pa's,116.03941,-31.885568,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/793851283,0.7,None
Stirling Arms,116.032001,-31.895588,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/798440311,0.7,None
Midland,116.001658,-31.891755,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/798461358,0.7,None
Midland AustPost DC,116.009288,-31.886516,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/798462701,0.7,None
Midland Workshops Museum,116.003574,-31.893396,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/798464210,0.7,None
Guildford Grammar Preparatory School,115.985641,-31.891781,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/798469907,0.7,None
Chapel of St Mary & St George,115.98123,-31.894789,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/798470854,0.7,None
Toilets,115.970997,-31.898658,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/798475777,0.7,None
IGA Swan View,116.042263,-31.88548,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/822127155,0.7,None
Pizza Hut,116.039587,-31.885568,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/822162665,0.7,None
Pig & Whistle Bar & Bistro,116.04087,-31.885424,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/884827684,0.7,None
Stratton Supa IGA,116.034976,-31.869238,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/888701481,0.7,None
Chicken Treat Stratton,116.034401,-31.868881,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/888701486,0.7,None
Better Choice Stratton,116.034396,-31.869698,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/888701494,0.7,None
Georges Fish Shop,116.033762,-31.895962,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/948115238,0.7,None
Midland Police Station,116.002351,-31.886766,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/948144435,0.7,None
The Eastern,116.003176,-31.89012,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/948148612,0.7,None
Ace Midland Gate Cinemas,116.008718,-31.889306,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/948149797,0.7,None
Oliver Court,116.023884,-31.87023,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/972249226,0.7,None
Subway Aveley,115.980555,-31.795266,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1009798103,0.7,None
Pizza Hut Ellenbrook,115.980551,-31.795195,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1009798158,0.7,None
Romano's Pizzeria,115.973458,-31.791176,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1009950273,0.7,None
Ellenbrook Fish and Chips,115.973522,-31.791178,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1009950278,0.7,None
Woodlake Chinese Restaurant,115.973597,-31.791176,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1009950283,0.7,None
curry Lovers,115.973954,-31.791321,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1009950285,0.7,None
Domino's,115.967489,-31.781142,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1009950312,0.7,None
Noodle Bar,115.967421,-31.781203,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1009950317,0.7,None
Harry and the Boys,115.967358,-31.78126,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1009950321,0.7,None
Dôme,115.966691,-31.781826,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1009950327,0.7,None
The Slippery Eel,115.967314,-31.782566,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1009950385,0.7,None
Chicken Treat,115.967603,-31.782492,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1009950388,0.7,None
Ellenbrook Police Station,115.966675,-31.780396,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1009950424,0.7,None
Thirsty Camel Bottle Shop,115.980013,-31.794829,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1009950430,0.7,None
Amaretto's,115.967377,-31.782476,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1009950443,0.7,None
