name,longitude,latitude
1,122.0,125.5
2,124.0,127.5
3,131.0,121.5
4,-3.0,10.0
5,5.0,3.0
6,13.0,12.0
7,11.0,11.0
8,11.0,5.0
9,5.0,15.0
10,5.0,13.0
11,12.0,4.0
12,9.0,12.0
13,7.0,1.0
14,12.0,11.0
15,6.0,16.0
16,6.0,17.0
17,2.0,13.0
18,2.0,15.0
19,15.0,6.0
20,3.0,2.0
21,13.0,12.0
22,10.0,7.0
23,7.0,7.0
24,3.0,9.0
25,4.0,15.0
26,6.0,16.0
27,8.0,19.0
28,11.0,6.0
29,8.0,18.0
30,11.0,13.0
31,11.0,7.0
32,10.0,13.0
33,6.0,1.0
34,8.0,19.0
35,-2.0,10.0
36,8.0,3.0
37,1.0,11.0
38,15.0,5.0
39,11.0,3.0
40,11.0,8.0
41,8.0,19.0
42,3.0,16.0
43,7.0,2.0
44,11.0,3.0
45,3.0,5.0
46,10.0,5.0
47,-3.0,11.0
48,0.0,14.0
49,13.0,10.0
50,6.0,9.0
51,8.0,11.0
52,6.0,11.0
53,12.0,12.0
54,4.0,12.0
55,4.0,4.0
56,13.0,13.0
57,11.0,3.0
58,4.0,10.0
59,-1.0,7.0
60,11.0,4.0
61,8.0,10.0
62,10.0,8.0
63,7.0,14.0
64,3.0,-1.0
