name,longitude,latitude
M,0.0,0.0
E,0.0,1.0
x,0.0,2.0
M,0.0,4.0
E,0.0,5.0
E,0.0,8.0
i,0.0,10.0
i,0.0,12.0
I,0.0,18.0
M,0.0,20.0
L,0.0,21.0
M,0.0,24.0
M,0.0,30.0
x,1.0,0.0
E,1.0,5.0
M,1.0,8.0
L,1.0,10.0
M,1.0,24.0
x,2.0,0.0
M,2.0,4.0
x,2.0,16.0
E,3.0,16.0
M,4.0,0.0
i,4.0,2.0
M,4.0,4.0
E,4.0,6.0
x,4.0,8.0
i,4.0,16.0
x,4.0,20.0
E,5.0,0.0
E,5.0,1.0
E,5.0,8.0
E,6.0,4.0
E,6.0,20.0
x,7.0,10.0
I,8.0,0.0
M,8.0,1.0
M,8.0,4.0
x,8.0,5.0
i,8.0,30.0
M,9.0,18.0
M,10.0,0.0
x,10.0,1.0
x,10.0,7.0
M,12.0,0.0
E,12.0,17.0
M,16.0,2.0
x,16.0,3.0
x,16.0,4.0
M,17.0,12.0
i,18.0,0.0
i,18.0,9.0
M,20.0,0.0
I,20.0,4.0
M,20.0,6.0
x,21.0,0.0
E,21.0,29.0
E,24.0,0.0
E,24.0,1.0
E,29.0,21.0
x,30.0,0.0
E,30.0,8.0
1,19.5,17.5
2,12.5,16.5
3,10.5,12.5
4,-4.0,0.0
