name,longitude,latitude
M,0,0
E,0,1
x,0,2
M,0,3
E,0,5
E,0,6
i,0,8
i,0,16
I,0,17
M,0,19
L,0,20
M,0,25
M,0,32
x,0,34
E,0,40
M,0,50
L,0,62
M,1,0
x,1,4
M,1,6
x,1,11
E,1,17
M,1,40
i,2,0
M,2,28
E,2,32
x,2,34
i,2,35
x,3,0
E,3,8
E,3,10
E,3,12
E,3,32
E,3,48
x,3,56
I,4,1
M,4,8
M,4,15
x,4,17
i,4,26
M,4,33
M,4,35
x,4,50
x,4,52
M,5,0
E,5,10
M,5,41
x,5,48
x,6,0
M,6,1
i,7,8
i,8,0
M,8,3
I,8,4
M,8,7
x,8,9
E,8,24
E,8,34
E,8,40
E,9,8
x,9,12
E,9,16
x,10,3
M,10,5
x,11,1
M,12,3
I,12,9
x,15,4
E,15,36
x,16,0
E,16,9
M,16,17
E,16,36
M,16,43
M,16,48
I,17,0
I,17,1
i,17,4
i,17,16
I,19,0
i,20,0
M,20,33
i,23,33
E,24,8
E,24,32
M,24,33
E,25,0
x,25,48
E,26,4
E,26,32
E,28,2
M,32,0
E,32,2
E,32,3
E,32,24
E,32,26
M,32,32
x,33,4
M,33,20
i,33,23
i,33,24
E,33,34
E,34,0
E,34,2
E,34,8
M,34,33
I,35,2
M,35,4
E,36,15
E,36,16
M,36,36
M,40,0
i,40,1
i,40,8
I,41,5
E,43,16
M,48,3
i,48,5
M,48,16
I,48,25
i,50,0
E,50,4
M,52,4
M,56,3
x,62,0
