location,latitude,longitude
Sandalford Winery,115.992759,-31.868701
Nikola Estate,115.997995,-31.854112
Edgecombe Brothers,115.998571,-31.795187
Little River Winery and Café,116.000888,-31.824124
Black Swan Winery and Restaurant,116.00085,-31.823404
Lancaster Wines,115.988887,-31.85226
Mandoon Estate,115.994991,-31.868266
Mandoon Vineyard,115.995494,-31.867594
Oakover Grounds,116.007327,-31.84508
Henley Park Winery,116.001641,-31.797776
Upper Reach Winery,116.008634,-31.795033
Mann Winery,116.012546,-31.793688
Harris Organic Wines and Spirits,116.02083,-31.794595
John Kosovich Wines,116.02076,-31.795346
Twin Hill Wines,116.020781,-31.796729
Olive Farm Wines,116.022232,-31.811995
Ali's Vineyard,116.01822,-31.814194
Talijancich,116.020341,-31.818507
Tyler's Vineyard,116.040805,-31.812921
Fig Tree Estate Winery,116.04003,-31.804387
Lamont's Winery,116.037443,-31.80323
Faber Vineyard,116.045655,-31.796771
Swan Valley Wines,116.048836,-31.796915
Windy Creek Estate,116.03056,-31.830487
Holy Mary Cellars,116.021676,-31.835658
Jarrah Ridge Wines,116.015532,-31.836499
Katgully Wines Cellar Door,116.021235,-31.835449
Sittella,116.006851,-31.830083
Ugly Duckling Wines,115.997425,-31.830502
Heafod Glen Winery,115.996817,-31.822945
Ambrook Wines,115.981779,-31.871998
