name,longitude,latitude,date,origin,source,class_confidence,ground_truth_location
Silver Spring,-77.030053,38.992887,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/49135583,0.7,None
Silver Spring,-77.030182,38.99267,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/49293809,0.7,None
14th St NW & Belmont St NW,-77.031865,38.920998,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/49745280,0.7,None
Shepherd Junction,-76.960178,38.886347,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/49792620,0.7,None
College Park,-76.928772,38.977942,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/50706773,0.7,None
Cafe Saint Ex,-77.031701,38.915421,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/60471261,0.7,None
D.C.-MD-VA Southern Tripoint,-77.038936,38.79163,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/75405465,0.7,None
Washington Union Station,-77.00573,38.898914,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/91294223,0.7,None
Hume,-77.059146,38.831226,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157544411,0.7,None
Cannon,-77.097479,38.79428,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157545041,0.7,None
Blair Circle,-77.036317,38.992268,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157545628,0.7,None
Chevy Chase Village,-77.077607,38.970756,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157554458,0.7,None
Battery Park,-77.103528,38.988302,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157555848,0.7,None
Somerset Heights,-77.0947,38.968999,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157556542,0.7,None
Douglas Park,-77.095416,38.854471,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157558609,0.7,None
Bloomingdale,-77.011365,38.916778,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157560663,0.7,None
Bradley Hills,-77.107756,38.979832,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157562428,0.7,None
Kingman Park,-76.974903,38.898004,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157562916,0.7,None
Lynhaven,-77.057021,38.835868,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157563389,0.7,None
Rock Creek Forest,-77.056329,38.99062,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157570607,0.7,None
Braddock Heights,-77.077202,38.830671,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157572971,0.7,None
Glenwood,-77.107201,38.995666,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157576071,0.7,None
Fort Ward Heights,-77.108034,38.835946,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157583632,0.7,None
Green Manor,-76.932474,38.958722,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157583916,0.7,None
Forest Hills,-77.058033,38.950944,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157590304,0.7,None
Wesley Heights,-77.088034,38.931222,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157591605,0.7,None
Takoma Park,-77.007476,38.977888,12-11-23 18:43:23,osm,https://www.openstreetmap.org/node/157592974,0.7,None
